ano;sigla_uf;id_municipio;tipo_vinculo;vinculo_ativo_3112;tipo_admissao;mes_admissao;mes_desligamento;motivo_desligamento;causa_desligamento_1;causa_desligamento_2;causa_desligamento_3;faixa_tempo_emprego;faixa_horas_contratadas;tempo_emprego;quantidade_horas_contratadas;id_municipio_trabalho;quantidade_dias_afastamento;indicador_cei_vinculado;indicador_trabalho_parcial;indicador_trabalho_intermitente;faixa_remuneracao_media_sm;valor_remuneracao_media_sm;valor_remuneracao_media;faixa_remuneracao_dezembro_sm;valor_remuneracao_dezembro_sm;valor_remuneracao_janeiro;valor_remuneracao_fevereiro;valor_remuneracao_marco;valor_remuneracao_abril;valor_remuneracao_maio;valor_remuneracao_junho;valor_remuneracao_julho;valor_remuneracao_agosto;valor_remuneracao_setembro;valor_remuneracao_outubro;valor_remuneracao_novembro;valor_remuneracao_dezembro;tipo_salario;valor_salario_contratual;subatividade_ibge;subsetor_ibge;cbo_1994;cbo_2002;cnae_1;cnae_2;cnae_2_subclasse;faixa_etaria;idade;grau_instrucao_1985_2005;grau_instrucao_apos_2005;nacionalidade;sexo;raca_cor;indicador_portador_deficiencia;tipo_deficiencia;ano_chegada_brasil;tamanho_estabelecimento;tipo_estabelecimento;natureza_juridica;indicador_simples
2023;MG;3164803;31;1;0;;;0;;99;99;8;5;182.3;40;3164803;0;0;0;0;2;1.34;1761.61;3;1.34;1753.82;1753.82;1753.82;1753.82;1775.42;1775.42;1775.42;1775.42;1775.42;1863.35;1608.22;1775.42;;;;24;;514325;75116;84116;8411600;6;40;;7;10;2;2;0;0;1198;7;1;1244;9
2023;MG;3164803;97;1;0;;;0;;99;99;5;5;35.9;40;3164803;0;0;0;0;2;1.09;1427.5;3;1.2;1302.0;1302.0;1736.0;1302.0;1320.0;1440.0;1320.0;1320.0;1320.0;1520.0;1664.0;1584.0;;;;24;;515120;75116;84116;8411600;3;21;;7;10;1;2;0;0;1198;7;1;1244;9
2024;MG;3164803;31;1;0;0;0;;999;999;999;8;5;359.0;40;;0;0;0;0;5;2.81;3978.5;5;2.81;3978.5;3978.5;3978.5;3978.5;3978.5;3978.5;3978.5;3978.5;3978.5;3978.5;3978.5;3978.5;;;;24;;331205;7511;8411;8411600;6;49;;6;10;2;2;0;0;1198;7;1;1244;0
2024;MG;3164803;31;1;0;0;0;;999;999;999;8;5;348.3;40;;0;0;0;0;4;1.54;2186.27;4;1.54;2186.26;2186.28;2186.27;2186.27;2186.27;2186.27;2186.27;2186.27;2186.27;2186.27;2186.27;2186.27;;;;24;;261205;7511;8411;8411600;7;58;;9;10;2;2;0;0;1198;7;1;1244;0
2024;MG;3164803;31;1;0;0;0;;999;999;999;8;5;383.0;40;;0;0;0;0;3;1.35;1922.46;3;1.4;1890.56;1890.56;1890.56;1890.56;1890.56;1890.56;1890.56;1890.56;1986.27;1986.27;1986.27;1986.27;;;;24;;514325;7511;8411;8411600;7;58;;3;10;1;2;0;0;1198;7;1;1244;0
2024;MG;3164803;31;1;0;0;0;;999;999;999;8;5;255.3;40;;0;0;0;0;4;1.68;2382.02;4;1.67;2306.55;2306.57;2369.11;2409.11;2409.11;2409.11;2369.11;2369.11;2449.11;2369.11;2449.11;2369.11;;;;24;;371105;7511;8411;8411600;7;56;;6;10;2;2;0;0;1198;7;1;1244;0
2023;MG;3164803;31;1;0;;;0;;99;99;8;5;369.9;40;3164803;0;0;0;0;4;2.35;3095.12;5;2.67;2447.2;2447.2;2447.2;2447.2;2570.96;2470.96;2570.96;2470.96;2470.96;7745.96;3525.96;3525.96;;;;24;;322230;75116;84116;8411600;7;54;;7;10;2;2;0;0;1198;7;1;1244;9
2023;MG;3164803;31;1;0;;;0;;99;99;8;5;241.9;40;3164803;0;0;0;0;2;1.44;1900.26;3;1.4;2371.92;1860.88;1842.63;1842.63;1860.63;1860.63;1860.63;1860.63;1860.63;1860.63;1860.63;1860.63;;;;24;;782305;75116;84116;8411600;6;45;;5;10;1;2;0;0;1198;7;1;1244;9
2023;MG;3164803;97;1;0;;;0;;99;99;7;5;67.8;40;3164803;0;0;0;0;2;1.44;1891.47;3;1.42;1862.4;1862.4;1862.4;1862.4;1884.0;1884.0;1884.0;2060.0;1884.0;1884.0;1884.0;1884.0;;;;24;;514325;75116;84116;8411600;5;30;;6;10;1;8;0;0;1198;7;1;1244;9
2024;MG;3164803;31;1;0;0;0;;999;999;999;8;5;187.0;40;;0;0;0;0;3;1.16;1639.09;3;1.16;1639.09;1639.09;1639.09;1639.09;1639.09;1639.09;1639.09;1639.09;1639.09;1639.09;1639.09;1639.09;;;;24;;782305;7511;8411;8411600;6;45;;5;10;1;2;0;0;1198;7;1;1244;0
2023;MG;3164803;10;1;0;;;0;;99;99;7;6;67.9;44;3164803;0;0;0;0;4;2.98;3922.36;5;2.71;3586.44;4781.92;3355.06;3586.44;3586.44;3586.44;4473.47;4384.77;3656.84;4897.61;3586.44;3586.44;;;;16;;141415;52124;47113;4711302;6;44;;9;10;2;2;0;0;1198;3;1;2062;9
2024;MG;3164803;31;1;0;0;0;;999;999;999;8;5;184.0;40;;0;0;0;0;3;1.48;2088.76;4;1.51;2135.82;2135.82;2135.82;2135.82;2135.82;2135.82;2135.82;1853.42;2135.82;1994.63;1994.63;2135.82;;;;24;;514325;7511;8411;8411600;6;42;;7;10;2;2;0;0;1198;7;1;1244;0
2023;MG;3164803;10;1;0;;;0;40;99;99;8;6;125.0;44;3164803;2;0;0;0;2;1.24;1636.24;3;1.19;1469.39;1469.39;1469.39;1534.92;1469.39;1469.39;1905.51;1910.38;2284.24;1425.67;1648.82;1578.42;;;;16;;410105;52124;47113;4711302;7;52;;7;10;2;4;0;0;1198;3;1;2062;9
2023;MG;3164803;97;1;0;;;0;;99;99;4;5;23.0;40;3164803;0;0;0;0;2;1.37;1802.17;3;1.3;1702.0;2136.0;1702.0;1702.0;1720.0;1720.0;1720.0;1830.0;1927.0;1957.0;1790.0;1720.0;;;;24;;411005;75116;84116;8411600;6;42;;6;10;1;2;0;0;1198;7;1;1244;9
2023;MG;3164803;31;1;0;;;0;;99;99;8;5;370.0;40;3164803;0;0;0;0;2;1.47;1933.66;3;1.43;1869.72;1869.72;2492.96;1869.72;1887.72;1887.72;1887.72;1887.72;1887.72;1887.72;1887.72;1887.72;;;;24;;715210;75116;84116;8411600;8;68;;3;10;1;2;0;0;1198;7;1;1244;9
2023;MG;3164803;31;1;0;;;0;40;99;99;8;5;252.0;40;3164803;30;0;0;0;2;1.16;1534.17;3;1.21;1589.13;1589.13;1589.13;1589.13;1607.13;1607.13;1607.13;1607.13;1499.99;910.71;1607.13;1607.13;;;;24;;514325;75116;84116;8411600;7;57;;3;10;1;2;0;0;1198;7;1;1244;9
2023;MG;3164803;97;1;0;;;0;;99;99;5;5;33.9;40;3164803;0;0;0;0;4;2.02;2658.93;5;2.0;3050.87;2333.02;2652.33;2652.33;2652.33;2652.33;2652.33;2652.33;2652.33;2652.33;2652.33;2652.33;;;;24;;331205;75116;84116;8411600;5;38;;9;10;2;2;0;0;1198;7;1;1244;9
2023;MG;3164803;31;1;0;;;0;;99;99;8;5;238.9;40;3164803;0;0;0;0;2;1.25;1645.27;3;1.21;2101.18;1606.79;1589.13;1589.13;1607.13;1607.13;1607.13;1607.13;1607.13;1607.13;1607.13;1607.13;;;;24;;513435;75116;84116;8411600;7;53;;5;10;2;2;0;0;1198;7;1;1244;9
2024;MG;3164803;31;1;0;0;0;;999;999;999;8;5;194.3;40;;0;0;0;0;5;2.35;3320.12;5;2.22;3297.82;3297.82;3297.82;3547.82;3297.82;3597.82;3297.82;3297.82;3297.82;3297.82;3175.45;3137.79;;;;24;;514325;7511;8411;8411600;6;40;;7;10;2;2;0;0;1198;7;1;1244;0
2023;MG;3164803;31;1;0;;;0;;99;99;8;5;184.3;40;3164803;0;0;0;0;4;2.04;2682.84;4;1.97;2506.57;3051.56;2586.57;2656.57;2668.17;2608.17;2738.17;2918.17;2318.17;2925.56;2608.17;2608.17;;;;24;;782305;75116;84116;8411600;7;50;;4;10;1;2;0;0;1198;7;1;1244;9
2023;MG;3164803;97;1;0;;;0;;99;99;5;5;35.9;40;3164803;0;0;0;0;2;1.24;1631.27;3;1.2;1602.4;1602.4;1562.4;1736.0;1664.0;1584.0;1624.0;1624.0;1584.0;1744.0;1664.0;1584.0;;;;24;;514325;75116;84116;8411600;3;22;;7;10;1;2;0;0;1198;7;1;1244;9
