ano;sigla_uf;id_municipio;tipo_vinculo;vinculo_ativo_3112;tipo_admissao;mes_admissao;mes_desligamento;motivo_desligamento;causa_desligamento_1;causa_desligamento_2;causa_desligamento_3;faixa_tempo_emprego;faixa_horas_contratadas;tempo_emprego;quantidade_horas_contratadas;id_municipio_trabalho;quantidade_dias_afastamento;indicador_cei_vinculado;indicador_trabalho_parcial;indicador_trabalho_intermitente;faixa_remuneracao_media_sm;valor_remuneracao_media_sm;valor_remuneracao_media;faixa_remuneracao_dezembro_sm;valor_remuneracao_dezembro_sm;valor_remuneracao_janeiro;valor_remuneracao_fevereiro;valor_remuneracao_marco;valor_remuneracao_abril;valor_remuneracao_maio;valor_remuneracao_junho;valor_remuneracao_julho;valor_remuneracao_agosto;valor_remuneracao_setembro;valor_remuneracao_outubro;valor_remuneracao_novembro;valor_remuneracao_dezembro;tipo_salario;valor_salario_contratual;subatividade_ibge;subsetor_ibge;cbo_1994;cbo_2002;cnae_1;cnae_2;cnae_2_subclasse;faixa_etaria;idade;grau_instrucao_1985_2005;grau_instrucao_apos_2005;nacionalidade;sexo;raca_cor;indicador_portador_deficiencia;tipo_deficiencia;ano_chegada_brasil;tamanho_estabelecimento;tipo_estabelecimento;natureza_juridica;indicador_simples
2022;MG;3114402;95;1;2;2;;0;40;40;;3;6;10.2;44;3114402;0;0;0;0;10;13.51;16382.22;10;14.41;0.0;5544.78;17465.97;17465.97;17465.97;17465.97;17465.97;17465.97;17465.97;17465.97;17465.97;17465.97;;;;24;;225125;75116;84116;8411600;5;32;;9;10;2;9;0;0;;9;1;1031;0
2022;MG;3114402;95;1;1;7;;0;40;40;40;2;6;5.4;44;3114402;0;0;0;0;10;12.8;15519.76;10;14.12;0.0;0.0;0.0;0.0;0.0;0.0;9010.27;17060.51;15627.87;17090.31;17210.22;17119.42;;;;24;;225125;75116;84116;8411600;8;72;;9;10;1;2;0;0;;9;1;1031;0
2022;MG;3114402;31;1;0;;;0;;;;8;6;271.4;44;3114402;0;0;0;0;10;12.29;14901.7;10;11.96;14498.96;14498.96;14498.96;14498.96;19331.95;14498.96;14498.96;14498.96;14498.96;14498.96;14498.96;14498.96;;;;24;;515120;75116;84116;8411600;8;65;;9;10;1;9;0;0;;9;1;1031;0
2022;MG;3114402;95;1;1;3;;0;40;40;;3;6;9.9;44;3114402;0;0;0;0;10;14.39;17452.13;10;14.41;0.0;0.0;17327.62;17465.97;17465.97;17465.97;17465.97;17465.97;17465.97;17465.97;17465.97;17465.97;;;;24;;225125;75116;84116;8411600;4;28;;9;10;2;2;0;0;;9;1;1031;0
2022;MG;3114402;95;1;1;7;;0;;;;2;6;5.3;44;3114402;0;0;0;0;10;13.31;16135.44;10;14.41;0.0;0.0;0.0;0.0;0.0;0.0;6930.97;17465.97;20017.83;17465.97;17465.97;17465.97;;;;24;;225125;75116;84116;8411600;3;24;;9;10;1;2;0;0;;9;1;1031;0
2022;MG;3114402;31;1;0;;;0;40;40;40;8;4;364.9;24;3114402;0;0;0;0;10;11.75;14244.23;10;11.82;17908.9;14266.32;13825.29;13825.29;11814.34;13825.29;13825.29;14328.03;14328.03;14328.03;14328.03;14328.03;;;;24;;223208;75116;84116;8411600;7;54;;9;10;2;9;0;0;;9;1;1031;0
2022;MG;3114402;31;1;0;;;0;;;;8;5;366.9;36;3114402;0;0;0;0;10;11.17;13548.4;10;10.87;12301.58;13141.18;14103.93;13182.23;13182.23;13182.23;13182.23;13182.23;13182.23;13182.23;17576.31;13182.23;;;;24;;223415;75116;84116;8411600;7;55;;9;10;2;9;0;0;;9;1;1031;0
2022;MG;3114402;95;1;1;3;;0;40;40;40;3;6;9.9;44;3114402;0;0;0;0;10;14.92;18086.32;10;14.55;0.0;0.0;18136.23;17566.32;18332.34;18024.09;18050.08;18114.27;18332.34;18332.34;18332.34;17642.89;;;;24;;225125;75116;84116;8411600;5;36;;9;10;2;2;0;0;;9;1;1031;0
2022;MG;3114402;95;1;1;3;;0;40;40;40;3;6;9.9;44;3114402;0;0;0;0;11;15.14;18354.26;10;14.41;0.0;0.0;17327.62;18713.81;18713.81;18132.27;18713.81;18713.81;18713.81;18713.81;18333.96;17465.97;;;;24;;225125;75116;84116;8411600;4;29;;9;10;2;9;0;0;;9;1;1031;0
2022;MG;3114402;31;1;0;;;0;40;40;40;8;4;365.8;24;3114402;0;0;0;0;10;11.36;13774.56;10;11.4;17908.9;14266.32;13216.52;13825.29;13825.3;13825.29;13825.29;11562.97;13573.92;11814.34;13825.29;13825.29;;;;24;;223208;75116;84116;8411600;7;57;;9;10;2;9;0;0;;9;1;1031;0
2022;MG;3114402;10;1;2;5;;0;;;;3;6;7.5;44;3511508;0;0;0;0;11;15.06;18258.03;11;16.29;0.0;0.0;0.0;0.0;10262.61;19242.4;19242.4;19242.4;19242.4;19242.4;19835.2;19754.4;;;;10;;141205;24139;20134;2013402;7;62;;9;10;1;2;0;0;1198;6;1;2054;0
2022;MG;3114402;10;1;0;;;0;;;;6;6;56.9;44;3114402;0;0;0;0;10;13.54;16410.81;11;15.5;12798.89;17183.78;22139.41;16851.64;17301.46;8010.63;8010.28;8555.27;11005.99;34642.03;21641.74;18788.58;;;;17;;321105;51543;46834;4683400;5;37;;7;10;1;9;0;0;1198;4;1;2062;0
2022;MG;3114402;10;1;2;9;;0;;;;2;5;3.1;40;3114402;0;0;0;0;12;53.68;65062.21;11;17.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23369.37;20785.27;20907.57;;;;18;;413225;65226;64221;6422100;6;40;;9;10;1;2;0;0;1198;4;1;2038;0
